2024-07-01T10:25:10Z    INFO    DBInst after assignment {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "dbcsInst:->": {"apiVersion": "database.oracle.com/v1alpha1", "kind": "DbcsSystem", "namespace": "default", "name": "dbcssystem-existing"}}
2024-07-01T10:25:10Z    INFO    Database details fetched successfully   {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "DatabaseId": ["ocid1.database.oc1.iad.anuwcljsabf7htyaxx3o46rynl5vyduxilwxeeafndy4cwqtkywkhcws435a"]}
2024-07-01T10:25:10Z    INFO    Calling createPluggableDatabase {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "ctx:->": "context.Background.WithCancel.WithValue(type logr.contextKey, val <not Stringer>).WithValue(type controller.reconcileIDKey, val <not Stringer>)", "dbcsInst:->": {"apiVersion": "database.oracle.com/v1alpha1", "kind": "DbcsSystem", "namespace": "default", "name": "dbcssystem-existing"}, "databaseIds:->": "ocid1.database.oc1.iad.anuwcljsabf7htyaxx3o46rynl5vyduxilwxeeafndy4cwqtkywkhcws435a", "compartmentId:->": "ocid1.compartment.oc1..aaaaaaaa63yqilqhgxv3dszur3a2fgwc64ohpfy43vpqjm7q5zq4q4yaw72a"}
2024-07-01T10:25:10Z    INFO    Checking if the pluggable database exists       {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBName": "pdb_sauahuja_sdk_11"}
2024-07-01T10:25:12Z    INFO    TDE wallet password retrieved successfully      {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c"}
2024-07-01T10:25:12Z    INFO    PDB admin password retrieved successfully       {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c"}
2024-07-01T10:25:12Z    INFO    Creating pluggable database     {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBName": "pdb_sauahuja_sdk_11"}
2024-07-01T10:25:12Z    INFO    Pluggable database creation initiated   {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBName": "pdb_sauahuja_sdk_11", "PDBID": "ocid1.pluggabledatabase.oc1.iad.anuwcljsabf7htya3wf2q75salpwd5dgx3mdrl2mxqemjome56y5bny5k6lq"}
2024-07-01T10:25:13Z    INFO    Checking pluggable database status      {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBID": "ocid1.pluggabledatabase.oc1.iad.anuwcljsabf7htya3wf2q75salpwd5dgx3mdrl2mxqemjome56y5bny5k6lq", "Status": "PROVISIONING"}
2024-07-01T10:25:43Z    INFO    Checking pluggable database status      {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBID": "ocid1.pluggabledatabase.oc1.iad.anuwcljsabf7htya3wf2q75salpwd5dgx3mdrl2mxqemjome56y5bny5k6lq", "Status": "PROVISIONING"}
2024-07-01T10:26:13Z    INFO    Checking pluggable database status      {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBID": "ocid1.pluggabledatabase.oc1.iad.anuwcljsabf7htya3wf2q75salpwd5dgx3mdrl2mxqemjome56y5bny5k6lq", "Status": "PROVISIONING"}
2024-07-01T10:26:43Z    INFO    Checking pluggable database status      {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBID": "ocid1.pluggabledatabase.oc1.iad.anuwcljsabf7htya3wf2q75salpwd5dgx3mdrl2mxqemjome56y5bny5k6lq", "Status": "PROVISIONING"}
2024-07-01T10:27:13Z    INFO    Checking pluggable database status      {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBID": "ocid1.pluggabledatabase.oc1.iad.anuwcljsabf7htya3wf2q75salpwd5dgx3mdrl2mxqemjome56y5bny5k6lq", "Status": "PROVISIONING"}
2024-07-01T10:27:44Z    INFO    Checking pluggable database status      {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBID": "ocid1.pluggabledatabase.oc1.iad.anuwcljsabf7htya3wf2q75salpwd5dgx3mdrl2mxqemjome56y5bny5k6lq", "Status": "PROVISIONING"}
2024-07-01T10:28:14Z    INFO    Checking pluggable database status      {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBID": "ocid1.pluggabledatabase.oc1.iad.anuwcljsabf7htya3wf2q75salpwd5dgx3mdrl2mxqemjome56y5bny5k6lq", "Status": "PROVISIONING"}
2024-07-01T10:28:44Z    INFO    Checking pluggable database status      {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBID": "ocid1.pluggabledatabase.oc1.iad.anuwcljsabf7htya3wf2q75salpwd5dgx3mdrl2mxqemjome56y5bny5k6lq", "Status": "AVAILABLE"}
2024-07-01T10:28:44Z    INFO    Pluggable database successfully created {"controller": "dbcssystem", "controllerGroup": "database.oracle.com", "controllerKind": "DbcsSystem", "DbcsSystem": {"name":"dbcssystem-existing","namespace":"default"}, "namespace": "default", "name": "dbcssystem-existing", "reconcileID": "7c2742a5-2d7e-443b-b066-90194b7b307c", "PDBName": "pdb_sauahuja_sdk_11", "PDBID": "ocid1.pluggabledatabase.oc1.iad.anuwcljsabf7htya3wf2q75salpwd5dgx3mdrl2mxqemjome56y5bny5k6lq"}
